HCPCS,Generic Name,Brand Name,Strength,SEER*Rx Category,Major Drug Class,Minor Drug Class,Oral (Y/N),FDA Approval Year,FDA Discontinuation Year,CMS Effective Date,CMS Discontinuation Date,Status
,Adagrasib,Krazati,200mg,Immunotherapy,RAS Inhibitor,KrAS G12C,Yes,2022,,,,In Use
J9354,Ado-Trastuzumab Emtansine,Kadcyla,1mg,Immunotherapy,Drug Antibody Conjugate,HER2,No,2013,,1/1/2014,,In Use
C9131,Ado-Trastuzumab Emtansine,Kadcyla,1mg,Immunotherapy,Drug Antibody Conjugate,HER2,No,2013,,7/1/2013,12/31/2013,No Longer Used
Q2057,Afamitresgene autoleucel,Tecelra,per therapeutic dose,Immunotherapy,T Cell Receptor (TCR),MAGE-A4,No,2024,,3/26/2025,,In Use
J9015,Aldesleukin,Proleukin,Per single vial (1 vial = 22 million IU),Immunotherapy,Cytokine,Interleukin-2,No,1992,,10/1/1996,,In Use
S0087,Alemtuzumab,Campath,30 mg,Immunotherapy,Monoclonal Antibody,CD52,No,2001,2012,1/1/2002,12/31/2002,No Longer Used
J0202,Alemtuzumab,Lemtrada,1 mg,Immunotherapy,Monoclonal Antibody,CD52,No,2001,,1/1/2016,,In Use
C9110,Alemtuzumab,Lemtrada,10 mg,Immunotherapy,Monoclonal Antibody,CD52,No,2001,,1/1/2001,12/31/2007,No Longer Used
J9010,Alemtuzumab,Campath,10 mg,Immunotherapy,Monoclonal Antibody,CD52,No,2001,2012,1/1/2003,12/31/2015,No Longer Used
Q9979,Alemtuzumab,Lemtrada,1 mg,Immunotherapy,Monoclonal Antibody,CD52,No,2001,,10/1/2015,12/31/2015,No Longer Used
J9061,Amivantamab,Rybrevant,2mg,Immunotherapy,Monoclonal Antibody,"EGFR, MET",No,2021,,1/26/2022,,In Use
C9083,Amivantamab-vmjw,Rybrevant,10mg,Immunotherapy,Monoclonal Antibody,"EGFR,MET",No,2021,,9/27/2021,1/26/2022,No Longer Used
C9483,Atezolizumab,Tecentriq,10 mg,Immunotherapy,Checkpoint Inhibitor,PD-1,No,2016,,10/1/2016,,In Use
J9022,Atezolizumab,Tecentriq,10mg,Immunotherapy,Checkpoint Inhibitor,PD-L1,No,2016,,1/1/2018,,In Use
J9024,"Atezolizumab, hyaluronidase-tqjs",Tecentriq Hybreza,5mg,Immunotherapy,Checkpoint Inhibitor,PD-L1,No,2024,,3/26/2025,,In Use
J9023,Avelumab,Bavencio,10mg,Immunotherapy,Checkpoint Inhibitor,PD-L1,No,2017,,1/1/2018,,In Use
C9491,Avelumab,Bavencio,10 mg,Immunotherapy,Checkpoint Inhibitor,PD-1,No,2017,,10/1/2017,,In Use
Q2041,Axicabtagene Ciloleucel,Yescarta,Up to 200 million,Immunotherapy,CAR-T,CD19,No,2017,,1/1/2019,,In Use
C9416,BCG,"BCG, Intravesical",Per instillation,Immunotherapy,Biological Response Modifier,Live Vaccine,No,1990,,1/1/2004,12/31/2003,No Longer Used
J9030,Bacillus calmette-guerin,"BCG Vaccine, Tice BCG",1mg,Immunotherapy,Biological Response Modifier,Live Vaccine,No,1990,,7/1/2019,,In Use
J9031,Bacillus calmette-guerin substrain nice live antigen,"Theracys, BCG Vaccine",Per instillation,Immunotherapy,Biological Response Modifier,Live Vaccine,No,1990,,1/1/1991,7/1/2019,No Longer Used
J9037,Belantamab mafodontin-blmf,Blenrep,0.5mg,Immunotherapy,Drug Antibody Conjugate,BCMA,No,2020,,4/1/2021,3/26/2025,No Longer Used
C9069,Belantamab mafodotin-blmf,Blenrep,0.5mg,Immunotherapy,Drug Antibody Conjugate,BCMA,No,2020,,1/1/2021,,No Longer Used
C9257,Bevacizumab,Avastin,0.25 mg,Immunotherapy,Monoclonal Antibody,VEGFR,No,2004,,1/1/2010,,In Use
C9214,Bevacizumab,Avastin,10 mg,Immunotherapy,Monoclonal Antibody,VEGFR,No,2004,,2/26/2004,12/31/2004,No Longer Used
S0116,Bevacizumab,Avastin,100 mg,Immunotherapy,Monoclonal Antibody,VEGFR,No,2004,,7/1/2004,6/30/2006,No Longer Used
J9035,Bevacizumab,Avastin,10 mg,Immunotherapy,Monoclonal Antibody,VEGFR,No,2004,,1/1/2005,,In Use
Q2024,Bevacizumab,Avastin,0.25 mg,Immunotherapy,Monoclonal Antibody,VEGFR,No,2004,,10/1/2009,12/31/2009,No Longer Used
Q5129,Bevacizumab-adcd,Vegzelma,10mg,Immunotherapy,Monoclonal Antibody,VEGFR,No,2023,,3/17/2023,,In Use
